time,temp,snr,rssi
3461,20,9,-52
3467,20,9,-53
3472,20,7,-52
3478,20,7,-51
3484,20,9,-54
3490,20,7,-52
3496,20,8,-53
3501,20,7,-51
3507,20,8,-52
3513,20,7,-57
3519,20,6,-52
3525,20,7,-54
3530,20,8,-54
3536,20,8,-53
3542,20,7,-54
3548,20,6,-54
3554,20,9,-53
3559,20,10,-53
3565,20,8,-53
3571,20,7,-56
3577,20,7,-53
3583,20,7,-53
3588,20,7,-54
3594,20,8,-53
3600,20,7,-54
3606,20,7,-53
3612,20,7,-55
3617,20,7,-55
3623,20,7,-56
3629,20,7,-56
3635,20,10,-53
3641,20,7,-53
3647,20,7,-53
3652,20,8,-53
3658,20,8,-52
3664,20,7,-53
3670,20,8,-52
3676,20,8,-53
3681,20,6,-55
3687,20,6,-52
3693,20,7,-59
3699,20,6,-52
3705,20,6,-51
C
3710,12,4,-52
3716,21,6,-52
3722,19,6,-52
3727,19,7,-56
3732,19,6,-56
3738,19,8,-55
3743,19,6,-52
3749,19,7,-52
3754,19,7,-54
3759,19,7,-53
3765,19,9,-53
3770,19,7,-52
3776,19,8,-53
3781,19,8,-53
3786,19,7,-52
3792,19,6,-55
3797,19,7,-53
3803,19,7,-52
3808,19,7,-54
3813,19,9,-54
3819,19,7,-52
3824,19,6,-53
3830,19,7,-54
3835,19,7,-52
3840,19,8,-54
3846,19,7,-54
3851,19,7,-53
3857,19,8,-53
3862,19,7,-54
3867,19,7,-54
3873,19,6,-54
3878,19,7,-54
3884,19,7,-52
3889,19,7,-52
3894,19,7,-55
3900,19,7,-52
3905,19,7,-52
3911,19,7,-51
3916,19,6,-51
3921,19,7,-52
3927,19,6,-52
3932,19,7,-53
3938,19,9,-53
3943,19,6,-52
3948,19,7,-52
3954,19,7,-52
3959,19,7,-52
3965,19,6,-52
3970,19,7,-52
3975,19,7,-52
3981,19,7,-52
3986,19,8,-53
3992,19,7,-52
3997,19,6,-52
4002,19,7,-52
4008,19,7,-52
4013,19,7,-52
4019,19,8,-52
4024,19,6,-51
4029,19,6,-52
4035,19,7,-53
4040,19,7,-54
4046,19,7,-54
4051,19,8,-54
4056,19,8,-54
4062,19,9,-53
4067,19,8,-52
4073,19,6,-51
4078,19,7,-51
4083,19,6,-52
4089,19,6,-52
4094,19,7,-52
4100,19,7,-57
4105,19,6,-55
4110,19,8,-51
4116,19,6,-51
4121,19,6,-51
4127,19,7,-51
4132,19,7,-51
4137,19,6,-51
4143,19,6,-51
4148,19,6,-51
4154,19,6,-51
4159,19,7,-51
